,City,Club,State,URL
0,Birmingham,Alabama Mineral & Lapidary Society,Alabama,http://www.lapidaryclub.com/
1,Dothan,Dothan Gem & Mineral Club,Alabama,http://www.wiregrassrockhounds.com/
2,Huntsville,Huntsville Gem and Mineral Society,Alabama,http://huntsvillegms.org/
3,Mobile,Mobile Rock & Gem Society,Alabama,http://www.mobilerockandgem.com/
4,Montgomery,Montgomery Gem & Mineral Society,Alabama,http://montgomerygemandmineralsociety.com/mgms/
5,Anchorage,Chugach Gem & Mineral Society,Alaska,http://www.chugachgemandmineralsociety.com/
6,Palmer,Mat-Su Rock and Mineral Club,Alaska,http://matsurockclub.com/
7,Apache Junction,Apache Junction Rock and Gem Club,Arizona,http://www.ajrockclub.com/
8,Black Canyon City,Black Canyon City Rock Club,Arizona,http://www.bccrockclub.mysite.com/
9,Anthem,Daisy Mountain Rock & Mineral Club,Arizona,http://www.dmrmc.com/
10,Miami,Gila County Gem & Mineral Society,Arizona,http://gilagem.org/
11,Sierra Vista,Huachuca Mineral and Gem Club,Arizona,http://www.huachucamineralandgemclub.info/
12,Lake Havasu City,Lake Havasu Gem & Mineral Society,Arizona,http://www.lakehavasugms.org/
13,Scottsdale,Mineralogical Society of Arizona,Arizona,http://www.msaaz.org/
14,Cottonwood,Mingus Gem & Mineral Club,Arizona,http://www.mingusclub.org/
15,Kingman,Mohave County Gemstoners,Arizona,http://www.gemstoners.org/
16,Tucson,Old Pueblo Lapidary Club,Arizona,http://www.lapidaryclub.org/
17,Prescott Valley,Prescott Gem & Mineral Club,Arizona,http://www.prescottgemmineral.org/
18,Quartzsite,Quartzsite Roadrunners Gem & Mineral Club,Arizona,http://www.qrgmc.org/
19,Phoenix,Rockhounds West,Arizona,http://rockhounds.scwclubs.com/
20,Sedona,Sedona Gem & Mineral Club,Arizona,http://www.sedonagemandmineral.org/
21,Bullhead City,Silvery Colorado River Rock Club,Arizona,http://scrrc.blogspot.com/
22,Pearce,Sunsites Gem and Mineral Club,Arizona,https://sites.google.com/site/cochisecountyrock/
23,Tucson,Tucson Gem and Mineral Society,Arizona,http://www.tgms.org/
24,Cottonwood,Verde River Rockhounds,Arizona,http://www.verderiverrockhounds.com/
25,Buckeye,West Valley Rock & Mineral Club,Arizona,http://www.westvalleyrockandmineralclub.com/
26,Show Low,White Mountain Gem & Mineral Club,Arizona,http://whitemountain-azrockclub.org/
27,Wickenburg,Wickenburg Gem and Mineral Society,Arizona,http://www.wickenburggms.org/
28,Little Rock,"Central Arkansas Gem, Mineral and Geology Society",Arkansas,http://www.centralarrockhound.org/
29,Siloam Springs,Northwest Arkansas Gem & Mineral Society,Arkansas,http://www.nwarockhounds.org/
30,Mountain Home,"Ozark Earth Science Gem, Mineral & Fossil Club",Arkansas,https://www.ozarkearthscience.com/
31,Sutter Creek,Amador County Gem & Mineral Society,California,http://www.amadorgemandmineral.org/
32,Anaheim,American Opal Society,California,http://www.opalsociety.org/
33,Lancaster,Antelope Valley Gem and Mineral Club,California,http://avgem.weebly.com/
34,Antioch,Antioch Lapidary Club,California,http://www.antiochlapidaryclub.com/
35,Borrego Springs,Borrego Rock and Gem Club,California,http://www.abdnha.org/bragclub.html
36,Angels Camp,Calaveras Gem & Mineral Society,California,http://www.calaverasgemandmineral.org/
37,Pacific Grove,Carmel Valley Gem and Mineral Society,California,http://www.cvgms.rocks/
38,San Luis Obispo,Central Coast Treasure Hunters Association,California,http://www.cctha.org/
39,Coalinga,Coalinga Rockhound Society,California,https://sites.google.com/site/coalingarockhounds/
40,Thousand Oaks,Conejo Gem & Mineral Club,California,http://www.cgamc.org/
41,Concord,Contra Costa Mineral & Gem Society,California,http://www.ccmgs.org/
42,Culver City,The Culver City Rock and Mineral Club,California,http://culvercityrocks.org/
43,Northridge,Del Air Rockhounds Club,California,http://delairrockhounds.blogspot.com/
44,Bellflower,Delvers Gem & Mineral Society,California,https://delversgemclub.wordpress.com/
45,El Cajon,El Cajon Valley Gem & Mineral Society,California,http://www.ecvgms.org/
46,Placerville,El Dorado County Mineral and Gem Society,California,http://www.eldoradomineralandgem.org/
47,Buena Park,Faceters Guild of Southern California,California,http://www.fgosc.com/
48,Fallbrook,"Fallbrook Gem and Mineral Society, Inc.",California,http://www.fgms.org/FGMS/Home.html
49,Oroville,Feather River Lapidary & Mineral Society,California,http://www.featherriverrocks.org/
50,Yucca Valley,First Class Miners,California,http://www.firstclassminers.org/
51,North Highlands,"Fossils for Fun Society, Inc.",California,https://www.facebook.com/The-Fossils-for-Fun-Society-994879667246272/
52,Fresno,Fresno Gem & Mineral Society,California,http://fgms.us/
53,Placerville,Gold Country Treasure Seekers,California,https://goldcountrytreasureseekers.shutterfly.com/
54,Yucca Valley,Hi-Desert Rockhounds of Morongo Valley,California,http://www.hi-desertrockhounds.org/
55,Ridgecrest,Indian Wells Valley Gem & Mineral Society,California,http://indianwells.weebly.com/
56,Bakersfield,Kern County Mineral Society,California,http://kerncountymineralsociety.org/
57,Lemoore,Lemoore Gem and Mineral Club,California,https://www.facebook.com/Lemoore-Gem-and-Mineral-Club-706220872829687/
58,Livermore,Livermore Valley Lithophiles,California,http://www.lithophiles.com/
59,Lone Pine,Line Pine Gem & Mieral Society,California,http://lpgms.org/
60,Mariposa,Mariposa Gem & Mineral Club,California,http://mariposagmc.org/
61,Hayward,Mineral & Gem Society of Castro Valley,California,http://www.mgscv.org/
62,Pasadena,Mineralogical Society of Southern California,California,http://www.mineralsocal.org/
63,Barstow,Mojave Desert Gem & Mineral Society,California,http://www.mdgms.net/
64,Monrovia,Monrovia Rock Hounds Inc.,California,http://www.moroks.com/
65,Modesto,Mother Lode Mineral Society,California,http://www.motherlodemineralsociety.com/
66,Mohave Valley,Needles Gem & Mineral Club,California,http://needlesgemmineralclub.blogspot.com/
67,Grass Valley,Nevada County Gem & Mineral Society,California,http://www.ncgms.org/
68,Orinda,Northern California Geological Society,California,http://www.ncgeolsoc.org/
69,La Habra,North Orange County Gem & Mineral Society,California,http://www.nocgms.com/
70,San Bernardino,Orange Belt Mineralogical Society,California,http://obmsrocks.yolasite.com/
71,Santa Maria,Orcutt Mineral Society,California,http://www.omsinc.org/
72,Oxnard,Oxnard Gem & Mineral Society,California,http://oxnardgem.com/home/
73,Palmdale,Palmdale Gem & Mineral Club,California,https://www.facebook.com/palmdalegemandmineralclub/
74,Escondido,Palomar Gem & Mineral Club,California,http://palomargem.org/
75,Rolling Hills Estates,Palos Verdes Gem & Mineral Society,California,http://www.palos-verdes-gem-and-mineral-society.org/
76,Paradise,Paradise Gem & Mineral Club,California,http://www.paradisegem.org/
77,Pasadena,Pasadena Lapidary Society,California,http://www.pasadenalapidarysociety.org/
78,Los Altos,"Peninsula Gem & Geology Society, Inc.",California,http://pggs.org/
79,Roseville,Roseville Rock Rollers,California,http://www.rockrollers.com/
80,Brea,Route 66 Gold Miners Inc,California,http://www.route66goldminers.org/
81,Sacramento,Sacramento Mineral Society,California,http://www.sacramentomineralsociety.org/
82,North Highlands,Sacramento Valley Detecting Buffs,California,http://www.sacramentovalleydetectingbuffs.com/
83,Salinas,Salinas Valley Rock and Gem Club,California,https://salinasrockandgem.pagecloud.com/
84,San Diego,San Diego Gem and Mineral Society,California,http://www.sdmg.org/
85,San Diego,San Diego Lapidary Society,California,http://sandiegolapidarysociety.org/
86,San Francisco,"San Francisco Gem and Mineral Society, Inc.",California,http://www.sfgms.org/
87,Bakersfield,San Joaquin Valley Lapidary Society,California,http://sjvls.blogspot.com/
88,San Luis Obispo,San Luis Obispo Gem & Mineral Club,California,http://www.slogem.org/
89,Santa Ana,"Santa Ana Rock & Mineral Club, Inc.",California,http://www.sarmclub.org/
90,San Jose,Santa Clara Valley Gem & Mineral Society,California,http://www.scvgms.org/
91,Santa Cruz,Santa Cruz Mineral and Gem Society,California,https://www.facebook.com/scmgs/
92,Paso Robles,Santa Lucia Rockhounds,California,http://www.slrockhounds.org/
93,Santa Rosa,"Santa Rosa Mineral And Gem Society, Inc.",California,http://www.srmgs.org/
94,Anaheim,Searchers Gem and Mineral Society,California,https://www.searchersrocks.org/
95,Trona,"Searles Lake Gem and Mineral Society, Inc.",California,http://www1.iwvisp.com/tronagemclub/
96,Redwood City,Sequoia Gem and Mineral Society,California,http://www.sequoiagemandmineralsociety.org/
97,Palm Springs,Shadow Mountain Gem & Mineral Society,California,http://www.shadowmountaingemmineral.org/
98,Redding,Shasta Gem & Mineral Society,California,http://www.shastagemandmineral.com/
99,Newhall,Sierra Pelona Rock Club,California,http://www.sierrapelona.com/
100,Torrance,South Bay Lapidary & Mineral Society,California,https://southbaylapidaryandmineralsociety.com/
101,San Clemente,South Orange County Gem & Mineral Society,California,https://www.facebook.com/South-Orange-County-Gem-Mineral-Society-255366124502612/
102,Los Angeles,Southern California Paleontological Society,California,http://socalpaleo.com/
103,Stockton,Stockton Lapidary & Mineral Club,California,http://www.stocktonlapidary.com/
104,Marysville,Sutter Buttes Gem & Mineral Society,California,https://sutterbuttesgemmin.org/
105,Tehachapi,Tehachapi Valley Gem & Mineral Society,California,http://www.tvgms.org/
106,Farmersville,Tule Gem and Mineral Society,California,http://www.tulegem.com/
107,Vallejo,Vallejo Gem & Mineral Society,California,http://www.vjgems.org/
108,San Bernardino,"Valley Prospectors, Inc.",California,https://www.valleyprospectors.com/
109,Ventura,"Ventura Gem & Mineral Society, Inc",California,http://vgms.org/
110,Victorville,Victor Valley Gem and Mineral Club,California,http://www.vvgmc.org/
111,Vista,Vista Gem & Mineral Society,California,http://www.vistarocks.org/
112,Garden Grove,West Coast Prospectors & Treasure Hunters Association,California,http://westcoasters.org/
113,Norco,West End Prospectors Corporation,California,http://www.wepcgold.com
114,Whittier,"Whittier Gem and Mineral Society, Inc.",California,http://wgmsca.com/index.html
115,San Fernando Valley,"Woodland Hills Rock Chippers, Inc.",California,http://www.rockchippers.org/
116,Yucaipa,Yucaipa Valley Gem & Mineral Society,California,http://www.yvgms.org/wiki/
117,Canon City,Canon City Geology Club,Colorado,http://www.canoncitygeologyclub.com/
118,Frisco,Colorado Gold Camp,Colorado,http://coloradogoldcamp.com/
119,Lakewood,Colorado Mineral Society,Colorado,http://www.coloradomineralsociety.org/
120,Alamosa,Colorado Prospector,Colorado,http://www.coloradoprospector.com/
121,Colorado Springs,Colorado Springs Mineral Society,Colorado,http://www.csms1936.com/
122,Salida,Columbine Gem and Mineral Society,Colorado,http://rockaholics.org/
123,Denver,Denver Gem and Mineral Guild,Colorado,http://denvergem.org/index.html
124,Boulder,Flatirons Mineral Club,Colorado,http://flatironsmineralclub.org/
125,Fort Collins,Fort Collins Rockhounds,Colorado,http://www.fortcollinsrockhounds.org/
126,Durango,Four Corners Gem & Mineral Club,Colorado,http://www.durangorocks.org/
127,Denver,Friends of Mineralogy - Colorado Chapter ,Colorado,http://friendsofmineralogycolorado.org/
128,Grand Junction,Grand Junction Gem & Mineral Club,Colorado,http://www.grandjunctionrockclub.org/
129,Lake George,Lake George Gem & Mineral club,Colorado,http://www.lggmclub.org/
130,Littleton,"Littleton Gem and Mineral Club, Inc.",Colorado,http://littletongemandmineralclub.com/
131,Arvada,Mile High Rock and Mineral Society,Colorado,http://www.milehirams.com/
132,Arvada,North Jeffco Gem & Mineral Club,Colorado,http://www.peaktopeak.com/njeffco/index.php
133,Pueblo,Pueblo Rockhounds,Colorado,http://www.pueblorockhounds.org/
134,Denver,Western Interior Paleontological Society,Colorado,http://www.westernpaleo.org/
135,Bristol,Bristol Gem & Mineral Club,Connecticut,http://bristolgem.org/
136,Danbury,Danbury Mineralogical Society,Connecticut,http://danburymineralogicalsociety.weebly.com/
137,Meriden,Lapidary and Mineral Society of Central Connecticut,Connecticut,http://www.lmscc.org/
138,New Haven,New Haven Mineral Club,Connecticut,http://www.newhavenmineralclub.org/
139,Stamford,Stamford Mineralogical Society,Connecticut,http://www.stamfordmineralsociety.org/
140,Wilmington,"Delaware Mineralogical Society, Inc.",Delaware,http://www.delminsociety.net/
141,Melbourne,Canaveral Mineral & Gem Society,Florida,http://www.canaveral-mgs.com/
142,Merritt Island,Central Brevard Rock and Gem Club,Florida,http://www.centralbrevardgems.org/
143,Winter Park,Central Florida Mineral and Gem Society,Florida,http://www.cfmgs.org/
144,Orlando,Florida Fossil Hunters,Florida,http://floridafossilhunters.com/
145,Hollywood,Florida Gold Coast Gem & Mineral Society,Florida,http://fgcgms.com/main/
146,Ft. Myers,Fossil Club of Lee County,Florida,http://www.fcolc.com/
147,Gainesville,Gainesville Gem & Mineral Society,Florida,http://gainesvillegms.weebly.com/
